ids,PAKi.response.1microM,FLT3i.response.1microM,FLT3i.response.10microM,CK2i.response.1microM,MEKi.response.1microM,P38i.response.1microM
F0763,0.45,0.89,0.45,0.88,0.48,0.89
F2601,0.86,0.81,0.47,0.62,1.00,0.97
F2673,0.65,0.50,0.47,0.56,0.70,0.89
F3347,0.59,0.60,0.34,0.55,0.71,0.80
F3892,0.31,0.79,0.18,0.79,0.92,0.99
F6350,0.63,0.62,0.49,0.82,0.83,0.95
F6962,0.69,1.05,1.17,0.73,0.91,1.01
F8011,0.73,0.64,0.63,0.85,0.58,0.94
F8903,1.10,0.77,1.10,0.49,0.57,0.75
F9135,0.34,0.53,0.41,0.33,0.68,0.77
F9136,0.46,0.65,0.13,0.26,0.70,1.01
R1519,0.23,0.69,0.46,0.62,0.53,0.79
R3221,0.57,0.70,0.63,0.93,0.96,1.00
R3762,0.29,0.43,0.18,0.89,0.46,0.47
R5657,0.21,0.28,0.06,0.75,0.77,1.02
R7919,0.32,0.23,0.03,0.67,0.39,0.90
R8774,0.45,0.62,0.43,0.86,0.71,0.79
R8804,0.24,0.60,0.26,0.54,0.67,0.44
R9150,0.22,0.31,0.12,0.30,0.81,1.25
R9318,0.45,0.55,0.30,0.64,0.90,0.75
T0700,0.12,0.37,0.19,0.66,0.49,0.53
T1820,0.79,0.70,0.41,0.53,0.99,0.99
T2100,0.83,0.76,0.80,0.25,0.95,0.93
T2413,0.56,0.87,0.77,0.71,0.64,1.01
T4070,0.44,0.62,0.20,0.87,0.64,1.00
T4954,0.71,0.58,0.33,0.96,0.50,0.50
T5062,0.48,0.37,0.21,0.09,0.29,0.97
T5177,0.73,0.79,0.54,0.91,0.68,0.87
T5282,0.13,0.27,0.05,0.89,0.13,0.95
T6591,0.41,0.42,0.09,0.43,0.24,0.36
T8546,0.83,0.85,0.68,0.89,0.89,0.91
T8724,0.80,0.80,0.76,0.77,0.94,1.13
X3720,0.84,0.94,0.59,0.85,0.58,0.62
X7790,0.44,0.66,0.27,0.74,0.40,1.03
X7910,0.71,0.60,0.66,1.02,0.79,0.75
X8719,0.93,0.79,0.68,0.34,0.96,0.88
