"","seed","Train_RMSE","Test_RMSE","Train_p","Test_p","Train_coef","Test_coef","n_features_input","Important_features","important_features_value"
"rho",433,0.0748295941592209,0.216101495094504,4.73810190363194e-16,0.53640873015873,0.961117340183808,0.261904761904762,17,"TNK2;MAP3K1;CDK9;PIK3CA;MAP2K1;MTOR","25.4636616341587;75.4660260189393;100;30.9339412110407;36.7361839006036;30.9380711333695"
"rho1",80,0.0829559514040324,0.214860128909734,2.43339690803646e-13,0.365202058019778,0.936473305820121,0.37126414119311,26,"CSNK1E;MAP3K1;CDK9;PIK3CA;MAP2K1;MTOR;STK3","24.3101879889504;100;28.6105459398555;23.9575382305477;75.80938375314;29.0446870230475;37.7519196152802"
"rho2",380,0.0774461742835737,0.158239200727272,4.52142908273961e-16,0.151140873015873,0.961259492423226,0.571428571428572,24,"TNK2;MAP3K1;PIK3CA;MAP2K1;MAST1;MTOR;MAP3K3;MKNK2;CDKL5;RIPK3","24.5152488626146;61.0331101197052;24.1137283270234;79.6298295494816;25.5037689830963;28.5269271852754;100;34.6793649263068;50.0461678046709;34.2968000305534"
"rho3",174,0.073238826263108,0.191101349081431,3.13380219704714e-16,0.00223214285714286,0.96235463283043,0.928571428571429,32,"MAP3K1;MAP2K1;MAPK9;MTOR;MAP3K3","100;31.1216878215125;25.5019647967629;28.4058705532807;35.1172368282982"
"rho4",119,0.07686996704985,0.166305983731304,2.5983287146796e-16,0.216170634920635,0.962902203034032,0.5,21,"SRPK1;TNK2;MAP3K1;CDK9;MINK1;MAP2K1;MAP3K3;CDKL5;FYN;RIPK3","47.7415381696621;45.5857113469728;92.3713228902896;72.4651986120229;27.4570339122374;63.5000992998348;69.718353852344;100;29.1961902577999;27.9430475157559"
"rho5",440,0.0719870173130742,0.251128738913542,2.93690005532518e-18,0.976785714285714,0.973846592751023,-0.0238095238095238,24,"TNK2;MAP3K1;PIK3CA;CAMK2D;MAPK9;MTOR;STK3;MAP3K3;CAMK2A;CDKL5;HIPK3;FYN;RIPK3","28.8431319170228;74.4192171902496;43.8754800316791;25.3246941030868;22.038123687062;79.3323535726988;72.2824288651389;100;42.4438099793267;32.4365313325679;22.0509981601013;38.9187154015418;32.3402032637577"
"rho6",301,0.0753516079870041,0.166537255691565,5.18263359008814e-16,0.0217757936507936,0.960843517579767,0.80952380952381,34,"MAP3K1;MAP2K1;MAP3K3;CDKL5;RIPK3","100;26.1724419644553;35.9477396142951;53.8796858952169;22.6446982274971"
"rho7",482,0.0749975489325741,0.179089441491923,2.0853993623609e-15,0.0458333333333333,0.956331360590808,0.738095238095238,25,"MAP2K1;STK3;MAP3K3;CDKL5;RIPK3","34.4944724257485;39.975033795597;57.8687779468169;100;28.5315119201977"
"rho8",172,0.0647234574303783,0.212987357599968,5.67897699576979e-15,0.359871031746032,0.95275936338043,0.380952380952381,17,"SRPK1;MAPK9;MAP3K3;CDKL5","24.7674975445655;41.7783497455072;100;56.230222499201"
"rho9",121,0.072260231282188,0.203014883007114,9.74048200370899e-17,0.170982142857143,0.965640054052041,0.547619047619048,24,"MAP4K5;MAP3K1;MAP2K1;MAP3K3;CDKL5;RIPK3","24.9934445125814;51.9788104341121;46.8026285344894;28.5941311586648;100;46.606137394664"
"rho10",3,0.0878236799815852,0.160811792232961,6.32979559457023e-15,0.389384920634921,0.952355016854497,0.357142857142857,26,"MAPK14;SRPK1;TNK2;MAP3K1;CDK9;MINK1;PIK3CA;ABL2;CAMK2D;MAPK9;MTOR;STK3;MAP3K3;CAMK2A;CDKL5","25.9054972786314;32.3286497922039;22.3808468637567;100;40.0007661421618;21.4543972261668;40.566221113144;23.272081688922;26.727751786895;23.1155377363653;42.0197243310328;36.888136133621;38.5400580050472;21.7970770664569;21.5123177815411"
"rho11",399,0.0693984486576984,0.225547609127263,3.8200412053614e-18,0.619097222222222,0.973306036902469,0.214285714285714,27,"MAP3K1;MTOR;STK3;MAP3K3","67.4776295702626;29.6628574613907;26.8332481375954;100"
"rho12",244,0.0833935297429665,0.123896397969511,1.22440124968305e-15,0.00724206349206349,0.95811665237916,0.880952380952381,30,"SRPK1;MAP3K1;CDK9;MAP2K1;MAP3K3;FYN;RIPK3","23.5303870248682;100;20.2391293299814;47.9597625226427;83.98281788871;36.339200076391;58.3314329067253"
"rho13",315,0.0751354270274694,0.198073255343518,3.95823028347203e-14,0.191549313415866,0.944961806545391,0.514979292622701,17,"MAP3K1;MAP2K1;MTOR;MAP3K3;FYN","77.3974565081244;45.4227009203953;22.7506428611431;100;27.0618433302329"
"rho14",114,0.0845698117564878,0.134720826449435,2.71893517469071e-16,0.0575892857142857,0.962770361833573,0.714285714285714,37,"MAP3K1;MAP3K3;CDKL5;RIPK3","100;70.7754184457706;45.8627312235488;23.4762490521138"
"rho15",286,0.0753230607312499,0.216412649901556,3.59318840694085e-14,0.267460317460317,0.945379956518769,0.452380952380952,28,"TNK2;MAP3K1;CDK9;KIT;MAP2K1;MTOR;STK3;MAP3K3;CDKL5;HIPK3","37.0149249205467;66.5404167734315;34.4915412256433;47.5101222751194;64.1846663322602;79.8910082045181;66.5716235416103;100;38.1158281245847;20.9597510503438"
"rho16",54,0.0744963891525812,0.206345609878227,4.72172059654317e-16,0.243055555555556,0.96112787614378,0.476190476190476,17,"TNK2;MAP3K1;CDK9;MAP2K1;ABL2;MTOR;STK3;CDKL5","35.5817628614623;100;80.4925042217499;30.5133307276046;33.5118930990259;59.1035324649432;28.8808516411317;29.7638580724313"
"rho17",311,0.0677546636363369,0.236466784670797,3.95901297818716e-17,0.427876984126984,0.967971566517917,0.333333333333333,17,"MAP4K5;TNK2;MAP3K1;CDK9;PIK3CA;MAP2K1;MAST1;MTOR;CDKL5","20.0348294206447;49.4619790738655;100;41.8673616420474;30.568254176597;27.627411622964;23.27487635416;39.9931988124203;47.4939809894414"
"rho18",87,0.0795290152704834,0.159044063415003,1.85823021848807e-15,0.0279265873015873,0.956724508134894,0.785714285714286,21,"MAP3K1;PIK3CA;MAP2K1;MTOR;STK3;MAP3K3","79.6442406983737;38.2974738988059;46.1474620810344;33.024969002324;24.1845184306612;100"
"rho19",237,0.070807651201096,0.241162027333702,5.46351556824259e-15,0.216170634920635,0.952902662062579,0.5,19,"SRPK1;TNK2;MAP3K1;CDK9;KIT;MAP2K1;LIMK2;MAST1;MTOR;MAP3K3;CAMK2A;CDKL5;PRKACB","22.1771292927895;43.7870842880969;67.2954381528206;41.0610596011589;21.9007880848599;58.7318865764539;22.1234984741081;66.0854964061441;68.3248600746547;100;21.6667540741704;51.7537422539752;43.2352395726469"
"rho20",307,0.0819166216858133,0.160684537325977,3.76924285415643e-16,0.132291666666667,0.961807062626828,0.595238095238095,32,"MAP3K1;PAK3;MAP2K1;STK3;MAP3K3;CDKL5;FYN;PRKACB;RIPK3","100;23.0239262991332;64.798444067244;30.0640826783898;75.0541559917119;47.6521285213603;27.5813669769155;23.378437358678;43.2516299629211"
