ids,ARAF,ERN1,CIT,MAPK14,PRKCI,MAP4K5,TAOK3,CAMKK2,SRPK1,TNK2,CSNK1E,PLK1,IRAK1,MAP3K1,PDGFRB,CDK2,RPS6KA2,TTK,CDK9,YES1,MAPK1,MAPK3,MAP4K4,MINK1,PAK3,SRPK3,PIK3CA,KIT,PAK1,MAP2K1,LIMK1,LIMK2,PIK3CB,ABL1,CDK6,ABL2,AKT1,AKT2,CAMK2D,MAST1,PRKACA,MAPK9,LATS1,CDK1,CDK5,STK4,CDK4,ROCK1,ROCK2,MTOR,STK3,PHKG2,MAPKAPK2,DYRK2,MAP3K3,ULK1,PAK2,CAMK2G,MAP3K15,CAMK2A,CSNK2A2,EIF2AK1,MELK,PAK4,RPS6KA3,RPS6KA4,MKNK2,CDKL5,HIPK3,CDK17,FYN,MAP3K2,PKN2,TAOK1,PRKACB,MARK3,CLK1,AURKB,RPS6KB1,RPS6KA6,AKT3,BMP2K,CLK2,MAP3K11,SIK2,CDK7,PRKAA1,PRKD3,CLK4,RIPK3
F0763,0.54046716,0.431613404,1.234110466,0.417421747,0.809600786,0.516704723,1.897775983,1.720111424,0.178474707,0.788642915,0.503911034,0.445934811,1.006391343,0.661208571,0.696784562,0.069092238,0.569223359,0.528199711,0.618033195,1.011593634,0.706325319,0.706325319,0.79735661,0.615746919,0.12537376,0.035287361,0.875084321,0.870037762,1.078423889,1.32110165,0.716439117,0.716439117,1.036727002,-0.225061207,2.45094725,-0.055419957,1.576567155,1.576567155,0.632532989,1.363169269,0.195687383,0.463733485,0.211823804,0.649603102,0.649603102,0.674009887,-0.144937609,0.789835984,0.789835984,3.51325782,1.369029461,0.481952153,-0.046892986,-0.011368002,1.368210836,2.758735732,0.057377294,0.580416212,0.015435478,0.563878401,0.275826598,1.773189061,1.042393407,1.197526814,0.443414322,1.103866287,0.342547087,0.296110751,-0.078669396,1.735826392,1.087636263,0.20675033,-0.042899328,1.236293456,1.047210967,3.672602251,0.191701992,0.419487407,0.694149576,0.198346464,0.04307564,-0.00327774,-0.011599061,3.984552227,0.670892477,0.727046463,0.106443816,0.094933461,0.048641438,-3.145708092
F2601,0.554448173,0.43310544,0.472032388,0.681820847,0.360398992,0.450757934,0.398253687,0.511142948,0.388063726,0.419568123,0.246858694,1.270516592,0.350257325,0.41119712,0.708985876,0.105223293,1.249808358,0.347277093,0.105056421,0.558144746,0.750340068,0.750340068,0.503843843,0.63977175,0.12494318,0.008400253,0.238540522,0.368939644,0.291397942,0.854697216,0.220309902,0.220309902,0.62491938,0.111535634,1.019872093,0.187922819,1.014443041,1.014443041,0.03068784,0.82726025,0.378276149,0.194000676,0.24737147,0.258031743,0.258031743,0.889776164,-0.020606067,1.095539761,1.095539761,0.641948281,0.192173553,0.87345806,0.004727297,0.036914471,0.12685701,1.696003871,-0.166960514,0.258230673,-0.048674144,0.028000191,0.103972366,3.3589486,1.769487207,1.038647113,0.784807353,0.439142168,-0.72358955,0.066087196,0.074938914,1.915860627,0.704653691,0.315790662,-0.061431927,1.876576571,0.655685103,2.964750378,0.504461622,4.411590872,2.563056803,0.437085087,-0.185119133,0.016416665,0.575073465,2.910840472,0.686447755,0.192820217,0.235665965,1.853371496,1.074289746,1.429141368
F2673,0.717901326,0.632357011,0.821930937,0.796797597,0.758574206,0.625169579,0.691381626,0.724968961,0.296872154,0.556045479,0.458731063,0.823403874,0.694380756,0.604078066,0.964105993,0.28412361,1.738074741,0.441713375,0.244751787,0.840046918,0.542098128,0.542098128,0.822375719,0.526357864,0.29270039,0.10666951,0.490757075,0.704212928,0.830294953,1.086049601,1.191052599,1.191052599,0.867060339,1.173769816,0.799291852,0.569669476,1.160947922,1.160947922,0.201744536,0.71458712,0.450312515,0.367732249,0.446355018,0.653790862,0.653790862,0.976326563,-0.089878936,1.517686232,1.517686232,0.51443605,0.250877687,0.738310577,0.031597613,0.188391732,0.508891084,0.931970601,-0.035091814,0.241920641,0.113320464,0.073590687,0.179222924,1.572931581,0.493256055,1.108678161,0.545391723,0.376520624,-0.648520909,0.131651573,-1.437219994,0.182371855,0.138178144,0.125256222,0.033440623,2.122202146,0.42968633,3.99961398,0.465840511,4.897599377,0.817409125,0.272514274,-0.008794682,-0.012112128,0.352236761,3.609638764,0.200660207,0.216204334,0.320214197,1.019884003,0.623489365,0.228053938
F3347,0.576039148,0.664388218,0.840911654,0.637908589,0.808052077,0.512410033,0.959832392,0.841033238,0.469736039,0.780221371,0.43147696,0.618721436,0.8216582,0.42523245,0.692494148,0.322740176,1.704818123,0.284921334,0.445435808,0.522931881,0.756996265,0.756996265,0.488905405,0.323106324,0.236314816,0.158490127,0.323885936,0.605433699,0.596928358,0.934628449,0.878052723,0.878052723,0.692574242,0.805323813,0.949963607,0.256224082,1.114118805,1.114118805,0.215137816,0.907039222,0.265384081,0.581271762,0.410838446,1.049860176,1.049860176,0.700125978,0.040144673,1.344441684,1.344441684,1.831009159,0.347451761,0.475970701,0.03702692,0.145121394,0.23922974,1.680089668,0.017243389,0.305382765,0.028781243,0.095404057,0.216035899,0.931820906,1.68478699,0.68834728,0.205565478,0.313456164,-0.249348007,0.023294873,-0.183283732,0.611759287,0.312731222,0.212417318,-0.044041974,0.627535586,0.402742626,4.537489352,0.363204116,2.755097226,0.869839247,0.214750191,-0.019527209,-0.019632131,0.14353109,3.922441697,0.165149062,0.304563452,3.28301948,0.130574016,0.090111933,1.917109277
F3892,0.49445291,0.575405027,0.991737575,0.726771448,0.927318662,0.430134533,1.183364865,1.001342378,0.570988841,0.632493071,0.458854164,0.611369754,0.867281181,0.444627388,1.082511562,0.084722041,1.392818212,0.583631063,0.398024707,1.433186243,0.684635575,0.684635575,1.160065682,0.957613033,0.221751354,0.372930906,0.505497542,0.820609035,0.562236704,0.536626903,0.653461457,0.653461457,1.102545663,0.129508734,2.981303036,0.238240884,0.820037166,0.820037166,0.364110521,0.415355917,0.325946256,0.750039879,0.334904636,0.360803864,0.360803864,1.114969512,-0.084509268,1.567264056,1.567264056,1.850640889,0.813378035,0.292759702,-0.017401635,0.099099635,1.406283963,3.986856846,-0.128942727,0.47720833,-0.066153397,0.438446117,0.378619303,1.531340012,1.096495394,1.297723468,0.296239156,0.566941893,-0.274377536,0.109749126,0.154285111,2.293867886,2.31676853,0.279802415,-0.044285342,1.192721421,0.465726299,2.388850141,0.249669229,0.475137964,0.764283259,0.418498181,0.026466542,0.009575927,0.075139836,4.953625546,2.163086296,0.461781238,0.325783691,0.076779386,0.036652368,0.449609099
F6350,0.554279464,0.728077723,0.948331217,0.590759049,1.29984397,0.551234443,0.934511276,0.904002234,0.42927086,0.548145128,0.735455272,0.511778873,1.090981088,0.569405538,0.744196974,0.491994181,1.509835437,0.507418989,0.291399844,0.833934289,0.470326764,0.470326764,0.696717286,0.746189645,0.280106446,0.185667882,0.537851647,0.753742915,0.464482906,0.228357612,0.50398776,0.50398776,0.63926175,0.404920018,2.672509657,0.223840322,1.917594901,1.917594901,0.550447855,0.76696401,0.682699001,0.566329893,0.78896119,0.648496935,0.648496935,0.60974303,0.388963365,1.216400604,1.216400604,1.12426984,0.44441951,0.450584912,-0.126358212,0.31537769,0.531907196,3.24115148,0.205791095,1.116551513,-0.080865089,0.712152209,0.499834358,2.575798705,1.275155877,0.886087245,0.534172036,1.442184868,-0.401404582,0.031166642,-0.536443413,1.490664688,0.229606863,0.170377853,-0.055719036,0.678462468,0.390720144,3.226298248,0.225373854,0.484863503,0.588803204,0.29829136,0.291640624,0.200063668,-0.018481432,5.030667901,0.280572376,0.840569185,-0.00167833,0.0195611,0.00152156,0.661509942
F6962,0.747095414,0.926629448,1.00834857,0.482750743,0.597641005,0.550466322,1.041295539,1.101121012,0.425809223,0.436509696,0.504361884,0.876317283,1.256516626,0.444579179,0.805238215,0.228374193,1.298218673,0.437484376,0.377263515,0.728063107,0.585029023,0.585029023,0.696915206,0.701866371,0.246561928,0.037343012,0.346668276,0.651122014,0.630806543,0.502372396,0.589795637,0.589795637,0.557567094,0.503684952,1.4651876,0.280744196,1.86457543,1.86457543,0.176452904,0.609151528,0.157181636,0.271459789,0.146411461,0.338328129,0.338328129,0.619042533,-0.163355709,1.535322185,1.535322185,1.073819157,0.421458254,0.364976876,0.086245385,0.055063034,-0.022249163,1.27693533,0.038344321,0.292487478,0.10877815,0.076412578,0.145392074,1.410104509,2.344281547,1.248847028,0.628207718,0.273033361,0.063281556,0.073080109,-1.59766425,0.599937139,0.214571949,0.121485674,-0.030178166,1.399811643,0.357702416,1.403896223,0.346379082,2.290337198,0.775801155,0.248278281,0.225836841,-0.005659068,0.215395605,3.799810913,0.255046777,0.143162143,0.545422821,0.150049299,0.115281876,-0.42165848
F8011,0.420513454,0.450020483,0.713427902,0.260504728,0.400430767,0.333041825,0.656257809,0.687380275,0.476266441,0.758850321,0.505311791,0.801761883,0.527092995,0.647599462,0.953579754,0.204849574,1.545519824,0.530237337,0.753538319,1.145879913,0.522334565,0.522334565,1.127778266,0.918396465,0.272203349,-0.117217528,0.586142818,0.794966248,0.542473055,0.662533448,0.870572049,0.870572049,1.216093201,0.60121185,1.577846924,0.562157949,1.016944682,1.016944682,0.258909409,0.927471684,0.272986399,0.645404947,0.310487938,1.017044271,1.017044271,0.57865265,0.058900167,0.490555559,0.490555559,1.511872772,0.373709187,0.511393544,-0.031540935,0.255987226,0.585485922,2.821352415,0.017532275,0.317680681,0.082722184,0.3626564,0.326464095,1.713245551,2.028086305,1.043901163,0.374175595,0.438060046,-0.227642707,0.067734726,-0.069018412,1.102819985,0.959801674,0.398850984,-0.102551895,1.430867906,1.085839218,3.21026551,0.222975078,0.445625726,0.575683725,0.246079944,-0.10024105,0.009510913,0.062858645,5.162816252,0.743326372,0.172759421,1.452288187,0.058691353,0.031859387,0.650417918
F8903,0.697370467,0.639377466,0.926174835,0.678033268,0.509999701,0.828714299,0.747681886,0.927636092,0.363207762,0.666393734,0.320218697,1.062622461,0.96994372,0.334974137,0.982067336,0.11235746,1.473811415,0.26663025,0.562387742,0.741728804,0.711593803,0.711593803,0.706146609,0.551904831,0.254156885,0.08295724,0.389775389,0.518811051,0.987829103,1.058971534,1.448364421,1.448364421,0.957662271,1.220595431,0.388359055,0.599337719,1.717101585,1.717101585,0.120084198,0.846074025,0.185370394,0.433956333,0.113928647,0.486740844,0.486740844,0.740609076,0.109798764,0.667280062,0.667280062,1.201806641,0.484652216,0.96290441,-0.042560694,0.162552198,0.080301085,1.269084485,0.101011277,0.270112697,0.167971152,0.038140542,0.181330764,1.01247549,1.412017717,1.190682401,0.484055642,0.429787339,-0.441311428,0.07310646,-1.163932028,0.381918578,0.263293097,0.008390493,0.112997165,1.095733839,1.157850693,0.982642823,0.734402645,5.028216109,0.445856788,0.459795473,-0.038068131,-0.010703783,0.535252554,3.60516875,0.16490432,0.453228221,1.439630008,1.641303178,0.979133175,-0.53150329
F9135,0.473808494,0.373762247,1.092826922,0.45548546,0.532822812,0.423048496,1.275321447,1.245390892,0.438249598,0.453923045,0.385899831,0.843858979,1.17825001,0.240252696,0.805672892,0.153137326,1.039350116,0.505063201,0.390763784,0.406926744,0.819456518,0.819456518,0.43155681,0.437538726,0.151073013,0.158887555,0.296740954,0.310207973,0.425832884,0.877944527,1.14162615,1.14162615,0.859777886,0.949984285,0.993989634,0.722022459,1.086217297,1.086217297,0.268364791,0.652498106,0.426239651,0.818778098,0.277538589,0.488498253,0.488498253,0.762888251,-0.05509928,1.488789172,1.488789172,1.047847328,0.682758874,0.578288438,-0.023289608,0.03123725,-0.089800947,2.385399555,-0.206160851,0.674354186,0.077859406,0.203310922,0.215735843,1.407829715,1.811667643,0.535796464,0.543453704,0.630522077,-1.214652187,0.181433362,-0.41542442,1.739184034,1.409558496,0.194426025,-0.018925014,2.196736157,0.516488104,1.945127868,0.875192894,1.852181336,0.26927671,0.658029274,-0.099683605,0.011655164,0.651807549,4.592321225,1.380702001,0.205275896,0.652977106,1.051098455,0.637677769,0.934872031
