"","seed","Train_RMSE","Test_RMSE","Train_p","Test_p","Train_coef","Test_coef","n_features_input","Important_features","important_features_value"
"rho",63,0.0728684267167104,0.20470617425605,3.82851658457277e-14,0.196626984126984,0.945106171416968,0.523809523809524,15,"TNK2;MAP3K1;CDK9;PIK3CA;MAP2K1;MTOR;STK3;CDKL5;FYN","46.6061825647711;98.8682373883604;64.7207790636124;22.843892964379;100;25.278679116059;42.3293571393171;44.9586941330065;54.8939465190307"
"rho1",436,0.0655291499982646,0.218152425768659,7.54067940816266e-17,0.500793650793651,0.966319969660586,0.285714285714286,22,"SRPK1;MAP3K1;MTOR;STK3;MAP3K3;CDKL5;RIPK3","36.5206366152003;100;21.3189452844997;30.7205090670622;75.1575100649088;38.1379665643259;24.641204838367"
"rho2",128,0.080843368057227,0.182495016062302,2.26917488936454e-17,0.196626984126984,0.969332018305037,0.523809523809524,24,"SRPK1;MAP3K1;PIK3CA;MAP2K1;CAMK2D;MTOR;STK3;MAP3K3;CDKL5;FYN;PRKACB;RIPK3","21.0823291732033;100;64.5696556661173;74.4227005880082;23.7497149336657;56.3047067146915;46.9227864530092;94.6755430681392;32.0710662123738;29.4278814376853;31.2127620440466;45.9586640060457"
"rho3",32,0.0708985118447247,0.216138422961541,1.18446179742506e-18,0.271502386922575,0.975629938197979,0.443121716907906,22,"TNK2;MAP3K1;MAP2K1;STK3;MAP3K3;CDKL5","31.0474431985327;100;27.1468754621094;24.955061553506;34.1521820543381;23.1000486700236"
"rho4",204,0.0700675688871174,0.215563604905451,6.79194310641358e-17,0.359871031746032,0.966593792264627,0.380952380952381,33,"MAP3K1;MAP2K1;STK3;MAP3K3;CDKL5;BMP2K","100;60.0334196317426;57.9280168007745;81.0560292754391;20.508033830091;78.1842333276407"
"rho5",111,0.072997870513474,0.217610416455392,3.28835584492733e-16,0.582142857142857,0.962212630599972,0.238095238095238,27,"MAP3K1;MAP2K1;STK3;MAP3K3","53.6085432749293;22.5723672098803;21.5330687390616;100"
"rho6",90,0.0706173548171904,0.218329188930728,1.13213367683044e-16,0.840128968253968,0.965234090368262,0.0952380952380952,20,"MAP3K1;MAPK9;STK3;MAP3K3;FYN","44.0848793156067;22.2215819834971;21.5963069420076;100;51.6954134093351"
"rho7",468,0.0701961155523777,0.217515781169699,5.88200377816937e-15,0.0395556279042975,0.952628839458538,0.730552019767088,27,"MAP3K1;CDK9;PIK3CA;MAP2K1;ABL1;MTOR;CAMK2A;RPS6KA4;CDKL5","60.2413973347691;52.8404404757528;20.6084422326165;75.0611978023118;27.0135194432182;28.2954710274004;27.8884753811619;25.3318572645886;100"
"rho8",273,0.0685142360908162,0.204935274919598,1.16321599512235e-14,0.196626984126984,0.95002076216347,0.523809523809524,21,"SRPK1;MAP3K1;CDK9;MAP2K1;ABL2;STK3;MAP3K3;CAMK2A;CDKL5;PRKACB;RIPK3","30.2718747167381;27.866113714189;22.5227980197262;100;26.4071306720101;26.3657425823566;88.7555373586855;52.8983849744907;90.5646716569339;31.308743392127;49.3751970917998"
"rho9",472,0.0801521638723972,0.182638638710813,9.93914479520029e-16,0.461805555555556,0.958795426507017,0.30952380952381,21,"SRPK1;TNK2;MAP3K1;CDK9;MINK1;ABL1;CDKL5;FYN;RIPK3","35.8339088514634;27.6184626720996;100;92.3935336649671;20.6136888847413;30.9240038933469;55.1603044455773;30.2433374963715;48.0493309644515"
"rho10",423,0.0689542925000651,0.248930275096742,6.831951193036e-18,0.461805555555556,0.972070244345447,0.30952380952381,23,"MAP3K3","100"
"rho11",461,0.0843002264088669,0.189253195305001,2.15568601450165e-16,0.243055555555556,0.963439908126574,0.476190476190476,34,"TNK2;MAP3K1;CDK9;YES1;MINK1;PIK3CA;KIT;MAP2K1;MAST1;MAPK9;MTOR;STK3;MAP3K3;CAMK2G;CAMK2A;RPS6KA3;CDKL5;HIPK3;FYN;AURKB;CLK2;CLK4;RIPK3","62.1589368103646;82.9965528789967;25.8426311210841;26.5671001580339;28.9030652992603;64.0789695386533;24.1271109024032;48.4820841040755;26.9840631726801;31.2825930725163;54.5657004823929;100;87.1501536863235;25.7444061454482;41.5463015596643;33.2788047279077;49.9828178759604;20.5469285886263;41.6015990152988;43.6892148402641;22.930582470795;20.2252414034199;30.7890566982374"
"rho12",357,0.0674994343459103,0.19949107707925,1.08533276351115e-15,0.0961805555555556,0.958510425936046,0.642857142857143,21,"MAP3K1;MAP2K1;MAP3K3;CAMK2A;CDKL5;RIPK3","58.6473287556623;62.6144240976929;36.3096347634398;34.731984367214;100;21.9899042196752"
"rho13",82,0.0730333499140672,0.199107189673103,6.79194310641358e-17,0.75203373015873,0.966593792264627,0.142857142857143,25,"MAP3K1;MAPK9;STK3;MAP3K3;CDKL5;FYN","26.6154480795972;42.0406848593861;62.7186844342117;100;97.6402206553818;27.7763706015933"
"rho14",122,0.0738965654775707,0.20329597456477,2.08473746802325e-18,0.299206349206349,0.974534647781816,0.428571428571429,28,"SRPK1;TNK2;MAP3K1;CDK9;PIK3CA;MAP2K1;MAST1;MTOR;STK3;MAP3K3;CAMK2A;CDKL5;PRKACB;RIPK3","20.9826765132537;42.524544263971;100;24.1773737871886;22.8150636568291;63.6839447336322;53.3564283123058;51.6147075551524;24.8350912071336;66.217298466115;48.5351014761284;66.6191703501364;22.4705646816684;62.030465870442"
"rho15",210,0.0776890355577278,0.185360777379697,5.16471625318498e-16,0.793005952380952,0.960854128528815,0.119047619047619,21,"TNK2;MAP3K1;CDK9;PIK3CB;CDKL5;FYN;RIPK3","26.6916123830845;100;28.1961265500087;29.8633885578003;55.1449190197499;44.1128162127921;41.6761965388518"
"rho16",412,0.0766149553309861,0.193221892174614,1.50832836211141e-15,0.0693948412698413,0.957426500998012,0.690476190476191,28,"TNK2;MAP3K1;CDK9;MAP2K1;ABL1;MTOR;MAP3K3;MKNK2;CDKL5","40.1225209016285;100;53.927704337669;42.0563476750165;26.4729025327125;56.3308140470755;92.6851871403859;41.8263782066014;36.9552116857926"
"rho17",346,0.0754098457080394,0.218171543906092,1.26292711629891e-17,0.267460317460317,0.970701131325242,0.452380952380952,24,"TNK2;MAP3K1;KIT;MAP2K1;CAMK2D;MAST1;MTOR;STK3;MAP3K3;CAMK2A;CDKL5;HIPK3","21.5842334876877;100;31.1958930137842;84.6708368725106;20.6207987411188;24.843792374051;71.2383669290369;50.581315508595;75.0789226637978;32.5632674511409;23.2484058634105;36.5643519297011"
"rho18",195,0.0840703860933438,0.189570858585674,7.1449331173369e-17,0.389384920634921,0.966461409357444,0.357142857142857,24,"SRPK1;MAP3K1;CDK9;MTOR;STK3;MAP3K3;CDKL5;FYN","47.0311797480442;36.6135102669606;20.3294686358847;21.0969490067981;25.204136632582;100;24.2857181930354;32.6941834818393"
"rho19",363,0.0774202463375774,0.207454082417108,5.40964754755545e-16,0.299206349206349,0.960711922219624,0.428571428571429,34,"MAP3K1;CDK9;MAP2K1;STK3;FYN","100;38.7478869040957;41.3771916424975;43.2703918106506;20.6593210546624"
